acchrs|Acc Chem Res
adprch|Adv Protein Chem
anrvbbs|Annu Rev Biophys Biomol Struct
anrvim|Annu Rev Immunol
biochj|Biochemical Journal
bioch|Biochemistry
bioph|Biophys Chem
biopol|Biopolymers
cell|Cell
cpl|Chem Phys Lett
chrv|Chem Rev
cropim|Curr Opin Immunol
cyth|Cytotherapy
im|Immunity
imrv|Immunol Rev
imtd|Immunol Today
jacs|J Am Chem Soc
jbc|J Biol Chem
jcp|J Chem Phys
jcc|J Comput Chem
jcmph|J Comput Phys
jem|J Exp Med
jimgen|J Immunogenet
ji|J Immunol
jmgr|J Mol Graphics
jmrec|J Mol Recognit
jpc|J Phys Chem
jpcb|J Phys Chem B
jmb|Journal of Molecular Biology
mim|Mol Immunol
mph|Mol Phys
nat|Nature
ni|Nature Immunology
nrvi|Nature Rev Immunol
nsb|Nature Struct Biol
pra|Phys Rev A
pre|Phys Rev E
pnas|Proc Natl Acad Sci U S A
pr|Proteins
sci|Science
embo|The EMBO Journal
